ConceptID,ConceptLabel,Dependencies,TaxonomyID
1,Product Management,,PMFND
2,Technical Product Manager,1,PMFND
3,Product Lifecycle,1,PMFND
4,Software Product,1,PMFND
5,Technical Literacy,2,PMFND
6,Engineering Mindset,2,PMFND
7,Product Strategy,1|3,PMFND
8,Business Requirements,1,PMFND
9,User Needs,1,PMFND
10,Stakeholder Management,1,PMFND
11,Cross-Functional Teams,1|10,PMFND
12,Product Vision,7,PMFND
13,Product Roadmap,7|12,PMFND
14,Value Proposition,7|9,PMFND
15,Market Research,1,PMFND
16,Competitive Analysis,15,PMFND
17,Customer Feedback,9,PMFND
18,Product Metrics,1,PMFND
19,Key Performance Indicators,18,PMFND
20,OKRs,19,PMFND
21,Software Development,4,SWDEV
22,Source Code,21,SWDEV
23,Programming Languages,22,SWDEV
24,Frontend Development,21|23,SWDEV
25,Backend Development,21|23,SWDEV
26,Full Stack Overview,24|25,SWDEV
27,Version Control,22,SWDEV
28,Git Basics,27,SWDEV
29,Code Repository,28,SWDEV
30,Code Review,29,SWDEV
31,Pull Request,29|30,SWDEV
32,Technical Documentation,5,TCDOC
33,Engineering Specifications,32|34,TCDOC
34,Technical Requirements,8|32,TCDOC
35,Functional Requirements,34,TCDOC
36,Non-Functional Requirements,34,TCDOC
37,Technical Specifications,33,TCDOC
38,Software Bug,21,TCDOC
39,Debugging Basics,38,TCDOC
40,Technical Jargon,5,TCDOC
41,System Architecture,4|21,SARCH
42,Software Components,41,SARCH
43,Client-Server Model,41,SARCH
44,Monolithic Architecture,41,SARCH
45,Microservices,44,SARCH
46,Service-Oriented Architecture,42,SARCH
47,Distributed Systems,43,SARCH
48,Cloud Computing,47,SARCH
49,Infrastructure as a Service,48,SARCH
50,Platform as a Service,48,SARCH
51,Software as a Service,48,SARCH
52,Serverless Computing,48,SARCH
53,Containerization,48,SARCH
54,Docker Overview,53,SARCH
55,Kubernetes Overview,54,SARCH
56,Load Balancing,47,SARCH
57,Horizontal Scaling,56,SARCH
58,Vertical Scaling,56,SARCH
59,Caching Strategies,41|64,SARCH
60,Content Delivery Network,59|47,SARCH
61,System Reliability,41,SARCH
62,High Availability,61,SARCH
63,Fault Tolerance,61,SARCH
64,System Latency,41,SARCH
65,System Throughput,41,SARCH
66,API Fundamentals,41|21,APINT
67,REST API,66,APINT
68,GraphQL Overview,66,APINT
69,API Endpoints,67,APINT
70,HTTP Methods,67,APINT
71,API Authentication,66|70,APINT
72,API Rate Limiting,66,APINT
73,API Versioning,66,APINT
74,API Documentation,66|32|80,APINT
75,Webhooks,66,APINT
76,Third-Party Integrations,66|82,APINT
77,API Gateway,66|45,APINT
78,Middleware,66,APINT
79,Data Serialization,66,APINT
80,JSON Format,79,APINT
81,XML Format,79,APINT
82,SDK Overview,66,APINT
83,API Testing,66|69,APINT
84,Postman Tool,83,APINT
85,API Error Handling,66,APINT
86,Database Fundamentals,4,DBASE
87,Relational Databases,86,DBASE
88,SQL Basics,87,DBASE
89,SQL Queries,88,DBASE
90,SQL Joins,89,DBASE
91,Data Tables,87,DBASE
92,Primary Keys,91,DBASE
93,Foreign Keys,92,DBASE
94,Database Schema,87,DBASE
95,Data Normalization,94,DBASE
96,NoSQL Databases,86,DBASE
97,Document Databases,96,DBASE
98,Key-Value Stores,96,DBASE
99,Data Warehouse,86,DBASE
100,Data Lake,99,DBASE
101,Database Indexing,87,DBASE
102,Query Optimization,89|101,DBASE
103,Data Migration,86|105,DBASE
104,Database Transactions,87,DBASE
105,ACID Properties,104,DBASE
106,Data Modeling,86,DBASE
107,Entity Relationships,106|92,DBASE
108,Database Performance,101|102,DBASE
109,Read vs Write Operations,87,DBASE
110,Data Backup and Recovery,86,DBASE
111,Software Dev Lifecycle,21,AGILE
112,Waterfall Methodology,111,AGILE
113,Agile Development,111,AGILE
114,Scrum Framework,113,AGILE
115,Sprint Planning,114|37,AGILE
116,Daily Standups,114,AGILE
117,Sprint Review,115,AGILE
118,Sprint Retrospective,117,AGILE
119,Product Backlog,114|13,AGILE
120,User Stories,119|9,AGILE
121,Acceptance Criteria,120|35,AGILE
122,Story Points,120,AGILE
123,Velocity Tracking,122,AGILE
124,Kanban Method,113,AGILE
125,Continuous Integration,111|27|144,AGILE
126,Continuous Delivery,125,AGILE
127,Release Management,126,AGILE
128,Feature Flags,127,AGILE
129,Minimum Viable Product,7|113|14,AGILE
130,Iterative Development,113|129,AGILE
131,Technical Debt,21,QATST
132,Code Quality,22,QATST
133,Code Refactoring,132,QATST
134,Legacy Systems,41|131,QATST
135,System Migration,134|103,QATST
136,Testing Fundamentals,21,QATST
137,Unit Testing,136,QATST
138,Integration Testing,136,QATST
139,End-to-End Testing,136,QATST
140,Quality Assurance,136|131,QATST
141,Performance Testing,136|36,QATST
142,Security Testing,136|71,QATST
143,Code Coverage,137,QATST
144,Automated Testing,136,QATST
145,Technical Debt Tracking,131|133,QATST
146,Data-Driven Decisions,18,ANLYT
147,Product Analytics,146|17|89,ANLYT
148,Web Analytics,147,ANLYT
149,User Behavior Tracking,147,ANLYT
150,Funnel Analysis,147,ANLYT
151,Cohort Analysis,147,ANLYT
152,A/B Testing,146|170|128,ANLYT
153,Statistical Significance,152,ANLYT
154,Conversion Rate,150,ANLYT
155,Retention Metrics,147,ANLYT
156,Churn Rate,155,ANLYT
157,Dashboard Design,147|158,ANLYT
158,Data Visualization,146,ANLYT
159,Python for Data Analysis,23|146,ANLYT
160,Data Pipelines,86|146|99,ANLYT
161,ETL Process,160,ANLYT
162,Real-Time Analytics,147|163,ANLYT
163,Event Tracking,149,ANLYT
164,Attribution Modeling,150,ANLYT
165,Customer Segmentation,147|151,ANLYT
166,Predictive Analytics,147,ANLYT
167,Data Privacy,146,ANLYT
168,GDPR Compliance,167,ANLYT
169,Data Governance,167,ANLYT
170,Experiment Design,146,ANLYT
171,Generative AI Overview,1,AITOL
172,Large Language Models,171,AITOL
173,ChatGPT for PMs,172,AITOL
174,Claude for PMs,172,AITOL
175,GitHub Copilot,172|22,AITOL
176,AI Prompt Engineering,172,AITOL
177,AI Code Understanding,176|22,AITOL
178,AI for Documentation,176|32,AITOL
179,AI for Data Analysis,176|146,AITOL
180,AI Limitations,171,AITOL
181,AI Ethics,180|167,AITOL
182,AI in Product Strategy,171|7,AITOL
183,AI-Augmented Learning,171,AITOL
184,AI for Debugging,176|39,AITOL
185,AI for Prototyping,176,AITOL
186,AI Tool Selection,173|174|175,AITOL
187,AI Integration Planning,182|186,AITOL
188,AI Cost-Benefit Analysis,187,AITOL
189,AI Governance,181|169,AITOL
190,AI Productivity Gains,186,AITOL
191,Technical PM Job Market,2,CARER
192,Technical Interview Prep,191|193,CARER
193,Technical Communication,5|40|32,CARER
194,Engineering Team Dynamics,11|6,CARER
195,Build vs Buy Analysis,196|16|51,CARER
196,Technical Decision Making,2|146,CARER
197,Escalation Frameworks,196,CARER
198,Technical Roadmapping,13|196|20,CARER
199,Personal Learning Plan,2|183,CARER
200,Continuous Tech Learning,199,CARER
